núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
59,2017,2,14,3,2,1,1,501,5,99,1,67,12,11,14,1,2,41,9,2006,4,1,2,1
60,2017,2,14,3,2,1,1,501,5,99,2,35,6,6,8,1,1,73,2,9999,6,1,2,1
61,2017,2,14,3,2,1,1,501,5,99,2,61,11,11,13,1,2,41,9,2006,4,1,2,1
62,2017,2,12,3,2,1,1,507,5,99,1,23,3,3,5,1,4,32,7,9999,6,2,1,2
63,2017,2,23,4,3,1,1,101,1,5,1,999,16,12,18,1,4,6,5,9999,6,1,2,1
64,2017,2,23,4,3,1,1,101,1,5,2,999,16,12,18,1,4,6,5,9999,6,1,2,1
65,2017,2,16,3,2,1,1,705,7,99,2,26,4,4,6,1,14,999,99,9999,6,1,2,1
66,2017,2,16,3,2,1,1,705,7,99,1,31,5,5,7,1,14,999,99,9999,6,1,2,1
67,2017,2,21,4,3,1,1,117,1,99,1,18,2,2,4,1,4,32,1,2010,5,2,2,1
68,2017,2,21,4,3,1,1,117,1,99,1,18,2,2,4,1,4,32,1,2010,5,2,2,1
69,2017,3,12,3,2,1,2,106,1,99,1,23,3,3,5,1,4,6,3,2016,5,1,2,1
70,2017,3,15,3,2,1,2,116,1,99,1,26,4,4,6,1,1,27,1,9999,6,1,2,1
71,2017,3,9,2,1,1,2,1904,19,99,1,15,2,2,4,2,3,52,1,2003,4,2,2,1
72,2017,3,20,4,3,1,2,501,5,99,1,25,4,4,6,1,4,999,99,9999,6,1,2,1
73,2017,3,20,4,3,1,2,1323,13,99,1,52,9,9,11,1,3,999,4,9999,6,2,2,2
74,2017,3,11,2,1,1,2,1504,15,99,2,70,13,11,15,1,4,67,3,9999,6,1,2,1
75,2017,3,23,4,3,1,2,301,3,99,1,16,2,2,4,2,4,108,1,9999,6,2,2,1
76,2017,3,23,4,3,1,2,301,3,99,1,16,2,2,4,2,4,108,1,9999,6,2,2,1
77,2017,4,12,3,2,1,3,107,1,99,1,23,3,3,5,1,4,32,3,9999,6,1,2,1
78,2017,4,9,2,1,1,3,306,3,99,1,20,3,3,5,1,3,999,11,2007,4,1,2,1
79,2017,4,16,3,2,1,3,301,3,99,1,26,4,4,6,1,4,6,5,2016,5,1,2,1
80,2017,4,17,3,2,1,3,1001,10,99,1,32,5,5,7,1,4,32,5,9999,6,1,2,1
81,2017,4,17,3,2,1,3,1001,10,99,1,24,3,3,5,1,4,32,5,9999,6,1,2,1
82,2017,4,8,2,1,1,3,1613,16,99,2,55,10,10,12,1,5,52,2,9999,6,1,2,1
83,2017,4,8,2,1,1,3,1613,16,99,2,36,6,6,8,1,5,52,2,9999,6,1,2,1
84,2017,4,8,2,1,1,3,1613,16,99,1,14,1,1,3,2,5,52,2,9999,6,1,2,1
85,2017,4,8,2,1,1,3,1613,16,99,2,39,6,6,8,1,5,52,2,9999,6,1,2,1
86,2017,4,8,2,1,1,3,1613,16,99,2,63,11,11,13,1,5,52,2,9999,6,1,1,2
87,2017,4,10,2,1,1,3,401,4,99,2,41,7,7,9,1,14,6,1,2013,5,1,2,1
88,2017,4,20,4,3,1,3,101,1,99,2,30,5,5,7,1,1,73,5,2002,4,1,2,1
89,2017,5,10,2,1,1,4,110,1,99,1,30,5,5,7,1,4,6,5,9999,6,1,2,1
90,2017,5,10,2,1,1,4,110,1,99,2,28,4,4,6,1,4,6,5,9999,6,1,2,1
91,2017,5,10,2,1,1,4,110,1,99,1,34,5,5,7,1,4,32,5,9999,6,1,2,1
92,2017,5,0,1,1,1,4,109,1,99,1,17,2,2,4,2,4,999,99,9999,6,1,2,1
93,2017,5,0,1,1,1,4,1307,13,99,1,24,3,3,5,1,4,27,5,2005,4,1,2,1
94,2017,5,17,3,2,1,4,1301,13,99,1,32,5,5,7,1,4,96,2,2005,4,1,2,1
95,2017,5,17,3,2,1,4,1301,13,99,1,23,3,3,5,1,4,96,2,2005,4,1,2,1
96,2017,5,15,3,2,1,4,1507,15,99,2,37,6,6,8,1,3,56,10,1987,2,2,2,1
97,2017,5,15,3,2,1,4,1507,15,99,2,80,15,11,17,1,3,56,10,1987,2,2,2,1
98,2017,6,16,3,2,1,5,101,1,18,1,35,6,6,8,1,4,67,1,2016,5,1,2,1
99,2017,6,16,3,2,1,5,101,1,18,1,17,2,2,4,2,4,67,1,2016,5,1,2,1
100,2017,6,21,4,3,1,5,117,1,99,1,22,3,3,5,1,4,64,1,2016,5,1,2,1
101,2017,6,17,3,2,1,5,1901,19,99,1,57,10,10,12,1,4,999,99,9999,6,1,2,1
102,2017,6,17,3,2,1,5,1901,19,99,1,14,1,1,3,2,4,999,99,9999,6,1,2,1
103,2017,6,21,4,3,1,5,803,8,99,2,35,6,6,8,1,3,69,2,9999,6,4,2,1
104,2017,6,20,4,3,1,5,202,2,99,1,16,2,2,4,2,3,69,99,1986,2,1,2,1
105,2017,6,20,4,3,1,5,202,2,99,2,21,3,3,5,1,3,69,99,1986,2,1,2,1
106,2017,6,20,4,3,1,5,202,2,99,2,49,8,8,10,1,3,69,99,1986,2,1,2,1
107,2017,6,14,3,2,1,5,1701,17,99,1,24,3,3,5,1,4,67,5,9999,6,1,1,2
108,2017,7,15,3,2,1,6,101,1,1,2,43,7,7,9,1,4,18,5,2013,5,1,2,1
109,2017,7,9,2,1,1,6,101,1,3,2,25,4,4,6,1,4,3,5,2015,5,1,2,1
110,2017,7,23,4,3,1,6,101,1,8,1,22,3,3,5,1,4,6,3,9999,6,2,2,1
111,2017,7,23,4,3,1,6,101,1,8,2,19,2,2,4,1,4,6,3,9999,6,2,2,1
112,2017,7,23,4,3,1,6,2011,20,99,2,23,3,3,5,1,4,18,2,2014,5,1,2,1
113,2017,7,22,4,3,1,6,1901,19,99,2,26,4,4,6,1,1,69,4,1999,3,1,2,1
114,2017,7,11,2,1,1,6,504,5,99,1,20,3,3,5,1,12,30,6,1991,3,1,2,1
115,2017,7,16,3,2,1,6,611,6,99,1,72,13,11,15,1,3,69,3,1991,3,1,2,1
116,2017,7,16,3,2,1,6,611,6,99,2,22,3,3,5,1,4,32,99,9999,6,1,2,1
117,2017,7,16,3,2,1,6,611,6,99,2,22,3,3,5,1,3,69,3,1991,3,1,2,2
118,2017,7,14,3,2,1,6,1001,10,99,1,27,4,4,6,1,4,6,5,2016,5,1,2,1
119,2017,7,20,4,3,1,6,1601,16,99,1,22,3,3,5,1,4,18,99,9999,6,4,2,1
120,2017,7,18,4,3,1,6,1601,16,99,1,36,6,6,8,1,4,999,99,9999,6,2,2,1
121,2017,7,17,3,2,1,6,201,2,99,1,32,5,5,7,1,3,999,99,9999,6,1,1,2
122,2017,7,17,3,2,1,6,201,2,99,2,40,7,7,9,1,3,999,99,9999,6,1,1,2
123,2017,7,17,3,2,1,6,201,2,99,1,39,6,6,8,1,3,999,99,9999,6,1,1,2
124,2017,7,17,3,2,1,6,201,2,99,1,13,1,1,3,2,3,999,99,9999,6,1,1,2
125,2017,7,17,3,2,1,6,201,2,99,1,42,7,7,9,1,12,30,99,2012,5,1,2,1
126,2017,7,17,3,2,1,6,201,2,99,2,20,3,3,5,1,12,30,99,2012,5,1,2,1
127,2017,7,17,3,2,1,6,201,2,99,1,26,4,4,6,1,12,30,99,2012,5,1,2,1
128,2017,7,17,3,2,1,6,201,2,99,2,18,2,2,4,1,12,30,99,2012,5,1,2,1
129,2017,7,17,3,2,1,6,201,2,99,2,14,1,1,3,2,12,30,99,2012,5,1,2,1
130,2017,7,17,3,2,1,6,201,2,99,1,10,1,1,3,2,12,30,99,2012,5,1,2,1
131,2017,7,17,3,2,1,6,201,2,99,2,11,1,1,3,2,12,30,99,2012,5,1,2,1
132,2017,7,17,3,2,1,6,201,2,99,2,3,1,1,1,2,12,30,99,2012,5,1,2,1
133,2017,7,6,2,1,1,6,208,2,99,1,23,3,3,5,1,3,10,3,9999,6,4,1,2
134,2017,7,5,1,1,1,6,304,3,99,1,26,4,4,6,1,4,6,5,9999,6,4,2,1
135,2017,7,5,1,1,1,6,304,3,99,2,33,5,5,7,1,4,6,5,9999,6,4,2,1
136,2017,8,22,4,3,1,7,1901,19,99,1,44,7,7,9,1,3,48,2,2011,5,1,2,1
137,2017,8,4,1,1,1,7,501,5,99,1,25,4,4,6,1,4,999,99,9999,6,4,1,2
138,2017,8,17,3,2,1,7,920,9,99,1,45,8,8,10,1,11,41,2,2002,4,2,2,1
139,2017,8,1,1,1,1,7,1222,12,99,1,21,3,3,5,1,4,999,99,9999,6,1,2,1
140,2017,8,1,1,1,1,7,1222,12,99,1,30,5,5,7,1,4,999,99,9999,6,1,2,1
141,2017,8,1,1,1,1,7,1222,12,99,1,29,4,4,6,1,3,69,5,1989,2,4,2,1
142,2017,8,1,1,1,1,7,1222,12,99,1,37,6,6,8,1,3,69,5,1989,2,4,2,1
143,2017,8,1,1,1,1,7,1222,12,99,1,14,1,1,3,2,3,69,5,1989,2,4,2,1
144,2017,8,9,2,1,1,7,1601,16,99,1,25,4,4,6,1,4,67,5,2012,5,1,2,1
145,2017,8,9,2,1,1,7,1801,18,99,2,38,6,6,8,1,9,999,99,9999,6,3,2,1
146,2017,8,9,2,1,1,7,1801,18,99,2,42,7,7,9,1,9,999,99,9999,6,3,2,1
147,2017,8,9,2,1,1,7,1801,18,99,2,17,2,2,4,2,9,999,99,9999,6,3,2,1
148,2017,9,23,4,3,1,1,1901,19,99,1,34,5,5,7,1,4,67,99,9999,6,2,1,2
149,2017,9,23,4,3,1,1,1901,19,99,1,18,2,2,4,1,4,67,99,9999,6,2,2,1
150,2017,9,13,3,2,1,1,1002,10,99,1,33,5,5,7,1,14,6,1,9999,6,1,2,1
151,2017,9,13,3,2,1,1,1002,10,99,2,14,1,1,3,2,14,6,1,9999,6,1,2,1
152,2017,10,17,3,2,1,2,106,1,99,2,25,4,4,6,1,12,69,6,9999,6,2,2,1
153,2017,10,17,3,2,1,2,106,1,99,2,39,6,6,8,1,12,69,6,9999,6,2,2,1
154,2017,10,17,3,2,1,2,106,1,99,2,22,3,3,5,1,12,69,6,9999,6,2,2,1
155,2017,10,17,3,2,1,2,106,1,99,2,64,11,11,13,1,12,69,6,9999,6,2,2,1
156,2017,10,17,3,2,1,2,106,1,99,1,64,11,11,13,1,12,69,6,9999,6,2,2,1
157,2017,10,17,3,2,1,2,106,1,99,2,20,3,3,5,1,12,69,6,9999,6,2,2,1
158,2017,10,17,3,2,1,2,106,1,99,1,25,4,4,6,1,12,69,6,9999,6,2,2,1
159,2017,10,17,3,2,1,2,106,1,99,2,23,3,3,5,1,12,69,6,9999,6,2,2,1
160,2017,10,17,3,2,1,2,106,1,99,2,68,12,11,14,1,12,69,6,9999,6,2,2,1
161,2017,10,17,3,2,1,2,106,1,99,2,32,5,5,7,1,12,69,6,9999,6,2,2,1
162,2017,10,17,3,2,1,2,106,1,99,2,50,9,9,11,1,12,69,6,9999,6,2,2,1
163,2017,10,17,3,2,1,2,106,1,99,1,57,10,10,12,1,12,69,6,9999,6,2,2,1
164,2017,10,18,4,3,1,2,2205,22,99,2,18,2,2,4,1,4,67,5,2012,5,4,2,1
165,2017,10,20,4,3,1,2,2101,21,99,2,17,2,2,4,2,3,69,4,1986,2,4,2,1
166,2017,10,20,4,3,1,2,2101,21,99,1,999,16,12,18,1,3,69,4,1986,2,4,2,1
167,2017,10,19,4,3,1,2,2106,21,99,1,15,2,2,4,2,4,999,1,9999,6,1,2,1
168,2017,10,20,4,3,1,2,501,5,99,1,36,6,6,8,1,4,999,99,9999,6,1,1,2
169,2017,10,20,4,3,1,2,501,5,99,1,29,4,4,6,1,4,999,99,9999,6,1,1,2
170,2017,10,0,1,1,1,2,901,9,99,2,53,9,9,11,1,4,20,3,2016,5,1,2,1
171,2017,10,22,4,3,1,2,1303,13,99,1,23,3,3,5,1,5,17,2,1992,3,2,2,1
172,2017,10,22,4,3,1,2,1303,13,99,1,26,4,4,6,1,5,17,2,1992,3,2,2,1
173,2017,10,23,4,3,1,2,1804,18,99,2,20,3,3,5,1,4,999,99,9999,6,1,2,1
174,2017,10,18,4,3,1,2,301,3,99,2,35,6,6,8,1,4,6,5,9999,6,1,2,1
175,2017,11,23,4,3,1,3,101,1,1,1,24,3,3,5,1,4,6,99,9999,6,1,2,1
176,2017,11,23,4,3,1,3,101,1,1,2,19,2,2,4,1,4,6,99,9999,6,1,2,1
177,2017,11,6,2,1,1,3,101,1,18,1,999,16,12,18,1,1,17,2,1997,3,1,2,1
178,2017,11,11,2,1,1,3,117,1,99,1,28,4,4,6,1,4,76,5,9999,6,1,2,1
179,2017,11,17,3,2,1,3,2004,20,99,1,45,8,8,10,1,4,67,1,2016,5,4,1,2
180,2017,11,11,2,1,1,3,1904,19,99,1,26,4,4,6,1,5,26,99,9999,6,1,2,1
181,2017,11,12,3,2,1,3,504,5,99,1,24,3,3,5,1,12,30,7,2003,4,2,2,1
182,2017,11,12,3,2,1,3,504,5,99,2,50,9,9,11,1,12,30,7,2003,4,2,2,1
183,2017,11,12,3,2,1,3,504,5,99,1,25,4,4,6,1,12,30,7,2003,4,2,2,1
184,2017,11,12,3,2,1,3,504,5,99,2,59,10,10,12,1,12,30,7,2003,4,2,2,1
185,2017,11,12,3,2,1,3,504,5,99,1,64,11,11,13,1,12,30,7,2003,4,2,2,1
186,2017,11,12,3,2,1,3,504,5,99,2,18,2,2,4,1,12,30,7,2003,4,2,2,1
187,2017,11,12,3,2,1,3,504,5,99,1,30,5,5,7,1,12,30,7,2003,4,2,2,1
188,2017,11,12,3,2,1,3,504,5,99,2,56,10,10,12,1,12,30,7,2003,4,2,2,1
189,2017,11,12,3,2,1,3,504,5,99,2,49,8,8,10,1,12,30,7,2003,4,2,2,1
190,2017,11,12,3,2,1,3,504,5,99,2,46,8,8,10,1,12,30,7,2003,4,2,2,1
191,2017,11,12,3,2,1,3,504,5,99,1,47,8,8,10,1,12,30,7,2003,4,2,2,1
192,2017,11,12,3,2,1,3,504,5,99,2,55,10,10,12,1,12,30,7,2003,4,2,2,1
193,2017,11,12,3,2,1,3,504,5,99,2,30,5,5,7,1,12,30,7,2003,4,2,2,1
194,2017,11,12,3,2,1,3,504,5,99,1,45,8,8,10,1,12,30,7,2003,4,2,2,1
195,2017,11,12,3,2,1,3,504,5,99,1,43,7,7,9,1,12,30,7,2003,4,2,2,1
196,2017,11,12,3,2,1,3,504,5,99,1,24,3,3,5,1,12,30,7,2003,4,2,2,1
197,2017,11,12,3,2,1,3,504,5,99,1,4,1,1,1,2,12,30,7,2003,4,2,2,1
198,2017,11,12,3,2,1,3,504,5,99,2,6,1,1,2,2,12,30,7,2003,4,2,2,1
199,2017,11,12,3,2,1,3,504,5,99,1,999,16,12,18,1,12,30,7,2003,4,2,1,2
200,2017,11,2,1,1,1,3,509,5,99,1,23,3,3,5,1,4,27,99,9999,6,1,1,2
201,2017,11,2,1,1,1,3,509,5,99,1,28,4,4,6,1,4,27,99,9999,6,1,1,2
202,2017,11,15,3,2,1,3,1101,11,99,2,21,3,3,5,1,4,27,99,9999,6,1,2,2
203,2017,11,15,3,2,1,3,1319,13,99,1,61,11,11,13,1,1,69,3,2007,4,1,2,1
204,2017,11,15,3,2,1,3,1319,13,99,2,58,10,10,12,1,1,69,3,2007,4,1,2,1
205,2017,11,19,4,3,1,3,401,4,99,1,17,2,2,4,2,4,53,4,9999,6,1,1,2
206,2017,11,19,4,3,1,3,401,4,99,2,18,2,2,4,1,4,53,4,9999,6,1,2,2
207,2017,12,13,3,2,1,4,101,1,4,1,39,6,6,8,1,4,6,3,2007,4,1,2,1
208,2017,12,22,4,3,1,4,101,1,2,1,999,16,12,18,1,4,999,99,9999,6,1,2,1
209,2017,12,17,3,2,1,4,101,1,8,1,23,3,3,5,1,4,999,99,9999,6,1,2,1
210,2017,12,11,2,1,1,4,101,1,18,1,25,4,4,6,1,9,52,2,1998,3,1,2,1
211,2017,12,11,2,1,1,4,101,1,18,1,52,9,9,11,1,9,52,2,1998,3,1,2,1
212,2017,12,11,2,1,1,4,101,1,18,2,22,3,3,5,1,9,52,2,1998,3,1,2,1
213,2017,12,11,2,1,1,4,101,1,18,2,39,6,6,8,1,9,52,2,1998,3,1,2,1
214,2017,12,11,2,1,1,4,101,1,18,2,32,5,5,7,1,9,52,2,1998,3,1,2,1
215,2017,12,11,2,1,1,4,101,1,18,1,17,2,2,4,2,9,52,2,1998,3,1,2,1
216,2017,12,11,2,1,1,4,101,1,18,1,15,2,2,4,2,9,52,2,1998,3,1,2,1
217,2017,12,11,2,1,1,4,101,1,18,2,23,3,3,5,1,9,52,2,1998,3,1,2,1
218,2017,12,23,4,3,1,4,117,1,99,1,31,5,5,7,1,4,3,5,9999,6,1,2,1
219,2017,12,7,2,1,1,4,509,5,99,1,43,7,7,9,1,4,32,1,2010,5,1,2,1
220,2017,12,7,2,1,1,4,509,5,99,1,44,7,7,9,1,4,32,1,2010,5,1,2,1
221,2017,12,12,3,2,1,4,509,5,99,1,14,1,1,3,2,22,999,5,2012,5,2,1,2
222,2017,12,14,3,2,1,4,601,6,99,2,40,7,7,9,1,99,56,4,2008,4,1,2,1
223,2017,12,15,3,2,1,4,605,6,99,1,33,5,5,7,1,4,67,5,2011,5,1,1,2
224,2017,13,12,3,2,1,5,101,1,12,1,26,4,4,6,1,1,999,99,9999,6,1,2,1
225,2017,13,1,1,1,1,5,301,3,99,1,23,3,3,5,1,4,32,6,9999,6,4,2,1
226,2017,13,10,2,1,1,5,1604,16,99,1,26,4,4,6,1,1,999,4,9999,6,1,2,1
227,2017,13,10,2,1,1,5,1604,16,99,1,29,4,4,6,1,1,999,4,9999,6,1,2,1
228,2017,13,10,2,1,1,5,1604,16,99,1,35,6,6,8,1,1,999,4,9999,6,1,1,2
229,2017,13,17,3,2,1,5,1001,10,99,1,56,10,10,12,1,3,69,4,9999,6,1,2,1
230,2017,13,16,3,2,1,5,202,2,99,1,47,8,8,10,1,1,41,1,9999,6,1,2,1
231,2017,13,11,2,1,1,5,1419,14,99,1,36,6,6,8,1,3,69,11,9999,6,2,1,2
232,2017,13,11,2,1,1,5,1419,14,99,1,14,1,1,3,2,3,69,11,9999,6,2,1,2
233,2017,13,2,1,1,1,5,1201,12,99,1,24,3,3,5,1,2,69,4,9999,6,2,2,1
234,2017,13,18,4,3,1,5,101,1,1,1,999,16,12,18,1,4,6,4,9999,6,1,2,1
235,2017,13,23,4,3,1,5,101,1,12,1,32,5,5,7,1,4,67,1,2007,4,1,2,1
236,2017,13,22,4,3,1,5,109,1,99,1,27,4,4,6,1,4,6,5,9999,6,1,2,1
237,2017,14,4,1,1,1,6,109,1,99,1,999,16,12,18,1,4,999,5,9999,6,1,1,2
238,2017,14,7,2,1,1,6,101,1,12,1,34,5,5,7,1,4,999,99,9999,6,1,1,2
239,2017,14,9,2,1,1,6,109,1,99,1,21,3,3,5,1,2,27,4,2014,5,1,2,1
240,2017,14,9,2,1,1,6,109,1,99,1,32,5,5,7,1,4,6,5,9999,6,1,2,1
241,2017,14,21,4,3,1,6,110,1,99,1,25,4,4,6,1,4,999,2,2013,5,2,2,1
242,2017,14,21,4,3,1,6,110,1,99,1,999,16,12,18,1,4,999,2,2013,5,2,2,1
243,2017,14,16,3,2,1,6,502,5,99,2,999,16,12,18,1,4,35,3,2012,5,1,2,1
244,2017,14,16,3,2,1,6,502,5,99,1,51,9,9,11,1,4,35,3,2012,5,1,2,1
245,2017,14,5,1,1,1,6,207,2,99,1,32,5,5,7,1,2,52,4,9999,6,4,2,1
246,2017,14,5,1,1,1,6,207,2,99,2,31,5,5,7,1,2,52,4,9999,6,4,2,1
247,2017,14,5,1,1,1,6,207,2,99,1,9,1,1,2,2,2,52,4,9999,6,4,2,1
248,2017,14,5,1,1,1,6,207,2,99,2,7,1,1,2,2,2,52,4,9999,6,4,2,1
249,2017,14,5,1,1,1,6,207,2,99,2,1,1,1,1,2,2,52,4,9999,6,4,2,1
250,2017,14,5,1,1,1,6,207,2,99,1,6,1,1,2,2,2,52,4,9999,6,4,2,1
251,2017,14,5,1,1,1,6,207,2,99,2,11,1,1,3,2,2,52,4,9999,6,4,1,2
252,2017,14,5,1,1,1,6,207,2,99,2,65,12,11,14,1,2,52,4,9999,6,4,1,2
253,2017,14,2,1,1,1,6,1001,10,99,1,42,7,7,9,1,1,69,9,9999,6,3,2,1
254,2017,14,22,4,3,1,6,1002,10,99,1,45,8,8,10,1,4,67,5,9999,6,2,1,2
255,2017,14,13,3,2,1,6,1701,17,99,1,35,6,6,8,1,4,6,1,2006,4,1,2,1
256,2017,14,13,3,2,1,6,1701,17,99,1,48,8,8,10,1,4,6,1,2006,4,1,2,1
257,2017,15,20,4,3,1,7,2217,22,99,2,26,4,4,6,1,3,69,9,1987,2,3,2,1
258,2017,15,20,4,3,1,7,2217,22,99,2,43,7,7,9,1,3,69,9,1987,2,3,2,1
259,2017,15,20,4,3,1,7,2217,22,99,1,8,1,1,2,2,3,69,9,1987,2,3,2,1
260,2017,15,20,4,3,1,7,2217,22,99,1,10,1,1,3,2,3,69,9,1987,2,3,2,1
261,2017,15,20,4,3,1,7,2217,22,99,2,18,2,2,4,1,3,69,9,1987,2,3,2,1
262,2017,15,20,4,3,1,7,2217,22,99,2,22,3,3,5,1,3,69,9,1987,2,3,2,1
263,2017,15,20,4,3,1,7,2217,22,99,2,44,7,7,9,1,3,69,9,1987,2,3,2,1
264,2017,15,20,4,3,1,7,2217,22,99,2,26,4,4,6,1,3,69,9,1987,2,3,2,1
265,2017,15,20,4,3,1,7,2217,22,99,2,14,1,1,3,2,3,69,9,1987,2,3,1,2
266,2017,15,22,4,3,1,7,501,5,99,2,39,6,6,8,1,4,113,4,9999,6,1,2,1
267,2017,15,23,4,3,1,7,510,5,99,1,25,4,4,6,1,4,999,99,9999,6,4,2,1
268,2017,15,22,4,3,1,7,1002,10,99,1,35,6,6,8,1,4,67,5,9999,6,4,1,2
269,2017,15,14,3,2,1,7,1106,11,99,1,23,3,3,5,1,4,32,3,2007,4,1,2,1
270,2017,15,18,4,3,1,7,117,1,99,1,21,3,3,5,1,4,67,3,9999,6,1,2,1
271,2017,15,22,4,3,1,7,1701,17,99,1,31,5,5,7,1,1,69,6,1938,1,2,2,1
272,2017,16,10,2,1,1,1,101,1,1,1,22,3,3,5,1,4,67,5,2006,4,1,2,1
273,2017,16,10,2,1,1,1,101,1,1,2,18,2,2,4,1,4,67,5,2006,4,1,2,1
274,2017,16,9,2,1,1,1,101,1,99,1,31,5,5,7,1,4,67,5,9999,6,1,1,2
275,2017,16,6,2,1,1,1,511,5,99,1,29,4,4,6,1,4,6,1,9999,6,1,2,1
276,2017,16,17,3,2,1,1,101,1,8,1,21,3,3,5,1,4,18,5,2017,5,2,2,1
277,2017,16,17,3,2,1,1,101,1,8,2,999,16,12,18,1,4,18,5,2017,5,2,2,1
278,2017,16,8,2,1,1,1,801,8,99,1,38,6,6,8,1,4,35,5,9999,6,1,1,2
279,2017,16,8,2,1,1,1,801,8,99,2,23,3,3,5,1,4,35,5,9999,6,1,2,1
280,2017,17,23,4,3,1,2,101,1,6,1,30,5,5,7,1,4,3,5,2011,5,1,2,1
281,2017,17,23,4,3,1,2,101,1,6,1,27,4,4,6,1,4,6,5,2015,5,1,2,1
282,2017,17,23,4,3,1,2,101,1,6,2,22,3,3,5,1,4,6,5,2015,5,1,2,1
283,2017,17,2,1,1,1,2,101,1,5,1,23,3,3,5,1,4,32,1,2016,5,2,2,1
284,2017,17,2,1,1,1,2,101,1,5,1,26,4,4,6,1,4,32,1,2016,5,2,2,1
285,2017,17,8,2,1,1,2,101,1,5,1,31,5,5,7,1,4,32,1,9999,6,1,1,2
286,2017,17,18,4,3,1,2,109,1,99,1,41,7,7,9,1,5,999,99,9999,6,1,2,1
287,2017,17,15,3,2,1,2,113,1,99,2,22,3,3,5,1,4,76,1,2015,5,1,2,1
288,2017,17,15,3,2,1,2,113,1,99,1,19,2,2,4,1,4,76,1,2015,5,1,2,1
289,2017,17,21,4,3,1,2,503,5,99,1,42,7,7,9,1,4,999,99,9999,6,1,2,1
290,2017,17,21,4,3,1,2,503,5,99,1,33,5,5,7,1,4,999,99,9999,6,1,2,1
291,2017,18,22,4,3,1,3,101,1,1,1,24,3,3,5,1,4,6,5,9999,6,1,2,1
292,2017,18,17,3,2,1,3,101,1,15,2,36,6,6,8,1,1,41,3,2012,5,1,2,1
293,2017,18,17,3,2,1,3,101,1,15,1,35,6,6,8,1,4,6,1,2008,4,1,2,1
294,2017,18,19,4,3,1,3,101,1,5,1,999,16,12,18,1,10,999,2,9999,6,1,2,1
295,2017,18,14,3,2,1,3,101,1,12,1,21,3,3,5,1,4,67,3,9999,6,1,2,1
296,2017,18,14,3,2,1,3,101,1,12,1,21,3,3,5,1,2,10,4,2007,4,1,2,1
297,2017,18,0,1,1,1,3,901,9,99,2,30,5,5,7,1,1,69,5,1995,3,1,2,1
298,2017,18,0,1,1,1,3,901,9,99,1,3,1,1,1,2,1,69,5,1995,3,1,2,1
299,2017,18,7,2,1,1,3,920,9,99,1,24,3,3,5,1,1,69,2,1991,3,1,2,1
300,2017,18,18,4,3,1,3,1601,16,99,1,22,3,3,5,1,3,999,99,9999,6,4,2,1
301,2017,18,18,4,3,1,3,1601,16,99,1,19,2,2,4,1,3,999,99,9999,6,4,2,1
302,2017,18,18,4,3,1,3,1601,16,99,1,24,3,3,5,1,3,999,99,9999,6,4,2,1
303,2017,19,2,1,1,1,4,101,1,19,1,22,3,3,5,1,4,45,2,9999,6,1,2,1
304,2017,19,7,2,1,1,4,2215,22,99,2,12,1,1,3,2,1,999,99,9999,6,1,2,1
305,2017,19,7,2,1,1,4,2215,22,99,1,4,1,1,1,2,1,999,99,9999,6,1,2,1
306,2017,19,7,2,1,1,4,2215,22,99,1,24,3,3,5,1,1,999,99,9999,6,1,2,1
307,2017,19,7,2,1,1,4,2215,22,99,2,27,4,4,6,1,1,999,99,9999,6,1,2,1
308,2017,19,7,2,1,1,4,2215,22,99,1,55,10,10,12,1,3,69,9,9999,6,1,2,1
309,2017,19,7,2,1,1,4,2215,22,99,2,27,4,4,6,1,3,69,9,9999,6,1,2,1
310,2017,19,7,2,1,1,4,2215,22,99,1,16,2,2,4,2,3,69,9,9999,6,1,2,1
311,2017,19,7,2,1,1,4,2215,22,99,1,37,6,6,8,1,3,69,9,9999,6,1,2,1
312,2017,19,11,2,1,1,4,601,6,99,1,18,2,2,4,1,4,6,3,2017,5,2,2,1
313,2017,19,11,2,1,1,4,601,6,99,1,20,3,3,5,1,4,6,3,2017,5,2,2,1
314,2017,19,7,2,1,1,4,1401,14,99,1,26,4,4,6,1,4,67,5,2012,5,1,2,1
315,2017,20,14,3,2,1,5,509,5,99,1,25,4,4,6,1,2,67,15,9999,6,3,1,2
316,2017,20,14,3,2,1,5,509,5,99,1,36,6,6,8,1,2,67,15,9999,6,3,1,2
317,2017,20,14,3,2,1,5,509,5,99,1,11,1,1,3,2,2,67,15,9999,6,3,2,1
318,2017,20,0,1,1,1,5,601,6,99,1,50,9,9,11,1,4,27,1,9999,6,2,1,2
319,2017,20,21,4,3,1,5,1601,16,99,2,39,6,6,8,1,11,69,2,2003,4,1,2,1
320,2017,20,0,1,1,1,5,306,3,99,1,17,2,2,4,2,3,17,3,1996,3,2,2,1
321,2017,20,0,1,1,1,5,306,3,99,2,18,2,2,4,1,3,17,3,1996,3,2,2,1
322,2017,20,3,1,1,1,5,101,1,6,1,21,3,3,5,1,4,27,14,2017,5,1,2,1
