num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
1,1,1,2,3,1,1,106,1,6,1,32,5,1,3,99,9999,2,99,2
2,1,1,2,5,1,1,101,1,11,1,34,5,1,1,2,2010,2,5,2
3,1,1,2,3,1,1,108,1,3,1,28,4,1,1,4,9999,1,20,2
4,1,1,2,0,1,19,1901,2,99,1,21,3,1,4,1,2012,2,24,1
5,1,1,2,18,4,19,1901,2,99,1,19,2,1,3,1,9999,3,44,9
6,1,1,2,0,1,5,502,2,99,1,24,3,1,4,5,2001,2,2,1
7,1,1,2,11,2,9,901,2,99,1,36,6,1,2,5,9999,2,44,2
8,1,1,2,1,1,12,1217,2,99,1,38,6,1,5,6,1992,1,34,1
9,1,1,2,7,2,13,1322,2,99,9,999,12,1,3,99,9999,3,44,1
10,1,1,2,8,2,16,1604,2,99,1,33,5,1,5,2,1999,2,19,2
11,1,1,2,3,1,18,1801,2,99,1,25,4,1,4,99,9999,2,99,1
12,1,1,2,4,1,3,301,2,99,2,25,4,1,4,99,9999,2,99,1
13,1,1,2,2,1,3,308,2,99,1,22,3,1,4,5,9999,2,99,1
14,2,1,3,15,3,1,101,1,1,1,40,7,1,3,2,2008,1,44,1
15,2,1,3,7,2,1,101,1,1,9,999,12,9,12,6,9999,1,99,9
16,2,1,3,22,4,1,101,1,5,1,49,8,1,10,2,9999,1,20,1
17,2,1,3,7,2,5,501,2,99,1,52,9,1,5,2,1999,1,44,1
18,2,1,3,10,2,6,611,2,99,1,35,6,1,12,99,9999,3,99,1
19,2,1,3,18,4,13,1301,1,3,1,36,6,1,4,3,9999,1,40,2
20,2,1,3,10,2,16,1608,2,99,1,42,7,1,12,7,1995,3,13,1
21,3,1,4,11,2,1,101,1,10,1,24,3,1,12,1,9999,1,99,1
22,3,1,4,21,4,1,108,1,6,1,39,6,1,3,2,9999,1,34,2
23,3,1,4,14,3,5,501,1,3,1,31,5,1,5,2,9999,1,99,1
24,3,1,4,19,4,9,917,2,99,1,56,10,1,2,9,9999,1,11,2
25,3,1,4,20,4,13,1301,2,99,1,27,4,1,3,3,9999,3,44,1
26,3,1,4,22,4,2,203,2,99,1,60,11,1,9,2,9999,1,20,1
27,3,1,4,16,3,7,701,2,99,1,65,11,1,9,4,9999,3,20,1
28,4,1,5,17,3,1,101,1,9,1,26,4,1,1,2,9999,1,32,2
29,4,1,5,7,2,1,101,1,18,1,39,6,1,4,99,9999,3,99,9
30,4,1,5,6,2,20,2008,2,99,1,47,8,1,13,7,9999,1,99,1
31,4,1,5,15,3,5,501,2,99,1,42,7,1,1,4,9999,1,21,9
32,4,1,5,8,2,10,1001,1,1,1,41,7,1,8,2,9999,1,42,1
33,4,1,5,20,4,9,901,1,7,2,39,6,1,2,4,2002,1,42,1
34,4,1,5,18,4,15,1501,2,99,1,46,8,1,1,99,9999,3,99,9
35,4,1,5,14,3,2,205,2,99,9,999,12,9,3,9,1987,4,99,9
36,4,1,5,17,3,7,701,2,99,1,46,8,1,2,14,9999,3,42,9
37,5,1,6,8,2,1,103,2,99,1,47,8,1,5,2,1995,1,37,9
38,5,1,6,12,3,20,2001,2,99,1,17,2,2,4,9,9999,1,99,9
39,5,1,6,8,2,10,1001,2,99,1,57,10,1,5,3,1997,1,15,9
40,5,1,6,7,2,9,919,2,99,9,999,12,9,7,99,9999,4,99,9
41,5,1,6,9,2,13,1301,2,99,9,999,12,9,3,1,9999,2,44,9
42,5,1,6,23,4,2,201,2,99,1,38,6,1,6,6,1996,1,15,9
43,5,1,6,16,3,18,1804,2,99,1,53,9,1,2,4,1997,1,44,9
44,6,1,7,9,2,1,101,1,1,1,37,6,1,3,2,9999,1,44,1
45,6,1,7,0,1,1,101,1,9,1,29,4,1,1,5,9999,2,32,9
46,6,1,7,8,2,19,1907,1,99,1,19,2,1,4,99,9999,3,42,1
47,6,1,7,11,2,5,501,1,99,1,28,4,1,6,2,1999,1,15,1
48,6,1,7,19,4,10,1001,1,4,1,24,3,1,4,4,2007,3,99,2
49,6,1,7,23,4,11,1101,1,6,1,34,5,1,3,4,9999,2,23,2
50,6,1,7,17,3,13,1301,1,99,1,19,2,1,2,5,9999,2,44,2
51,6,1,7,0,1,8,805,2,99,9,999,12,9,7,11,9999,3,99,9
52,6,1,7,20,4,2,203,2,99,1,35,6,1,1,2,2003,3,46,1
53,6,1,7,22,4,14,1404,2,99,1,43,7,1,3,2,1995,1,44,9
54,6,1,7,13,3,4,403,2,99,9,999,12,9,3,4,1994,2,44,9
55,7,1,1,5,1,1,101,1,12,1,64,11,1,6,1,1995,1,29,9
56,7,1,1,17,3,22,2201,1,1,1,25,4,1,1,3,9999,2,32,9
57,7,1,1,19,4,22,2201,2,99,2,26,4,1,2,9,2000,3,5,1
58,7,1,1,13,3,10,1015,2,99,1,18,2,1,14,1,2007,3,2,1
59,7,1,1,15,3,9,921,2,99,1,24,3,1,4,99,2012,3,2,9
60,7,1,1,11,2,8,805,2,99,1,40,7,1,3,99,9999,1,44,1
61,7,1,1,2,1,3,314,1,1,1,19,2,1,4,1,9999,2,99,9
62,8,1,2,12,3,19,1901,2,99,1,23,3,1,14,99,9999,3,99,9
63,8,1,2,11,2,1,117,1,7,1,39,6,1,5,2,9999,1,22,1
64,8,1,2,6,2,4,416,2,99,1,36,6,1,3,3,9999,1,44,9
65,8,1,2,17,3,19,1908,2,99,9,999,12,9,14,1,9999,1,2,9
66,8,1,2,19,4,12,1222,2,99,9,999,12,9,3,9,9999,2,44,9
67,9,1,3,7,2,1,101,1,11,1,28,4,1,12,99,9999,1,22,1
68,9,1,3,8,2,7,704,2,99,9,999,12,9,9,2,9999,3,44,9
69,10,1,4,8,2,1,101,1,11,1,40,7,1,3,1,1984,1,5,2
70,10,1,4,15,3,1,101,1,21,2,38,6,1,2,3,9999,1,34,1
71,10,1,4,11,2,20,2004,2,99,1,56,10,1,3,6,9999,3,34,1
72,10,1,4,7,2,6,601,2,99,1,36,6,1,9,4,2009,1,34,1
73,10,1,4,20,4,10,1001,2,99,2,27,4,1,1,2,1999,1,34,2
74,10,1,4,20,4,10,1001,2,99,1,25,4,1,4,5,9999,3,2,1
75,10,1,4,14,3,12,1202,2,99,1,19,2,1,9,99,2009,1,44,1
76,10,1,4,4,1,16,1609,2,99,1,32,5,1,1,2,2007,1,34,2
77,10,1,4,20,4,14,1401,1,1,1,23,3,1,3,8,1981,2,44,2
78,10,1,4,5,1,4,401,2,99,1,24,3,1,4,1,9999,2,2,1
79,11,1,5,9,2,1,101,1,1,2,36,6,1,1,4,9999,1,34,1
80,11,1,5,7,2,1,102,2,99,1,24,3,1,5,2,9999,1,13,1
81,11,1,5,1,1,1,101,1,11,1,42,7,1,1,4,9999,2,21,1
82,11,1,5,19,4,1,115,1,6,1,30,5,1,3,1,9999,1,44,1
83,11,1,5,18,4,5,509,2,99,1,34,5,1,4,9,9999,1,2,1
84,11,1,5,8,2,10,1002,2,99,1,30,5,1,1,6,1996,1,44,1
85,11,1,5,4,1,12,1201,2,99,1,29,4,1,3,2,1997,2,34,2
86,11,1,5,5,1,16,1613,2,99,9,999,12,9,5,99,9999,1,99,9
87,11,1,5,16,3,18,1805,2,99,1,31,5,1,5,5,9999,2,13,2
88,11,1,5,16,3,18,1801,2,99,1,43,7,1,1,1,2000,1,32,1
89,11,1,5,19,4,7,706,2,99,1,20,3,1,1,2,9999,1,5,1
90,12,1,6,23,4,1,101,1,1,1,31,5,1,1,4,1999,1,37,2
91,12,1,6,1,1,1,101,1,1,1,29,4,1,1,5,1993,2,17,2
92,12,1,6,21,4,1,101,1,1,1,38,6,1,12,2,9999,1,99,1
93,12,1,6,9,2,1,101,1,18,1,40,7,1,4,99,9999,1,99,1
94,12,1,6,18,4,1,107,2,99,1,32,5,1,4,99,9999,3,99,1
95,12,1,6,21,4,1,101,1,13,9,999,12,9,99,99,9999,1,99,9
96,12,1,6,2,1,1,101,1,21,1,42,7,1,1,11,9999,1,44,2
97,12,1,6,23,4,1,101,1,12,1,23,3,1,1,1,9999,1,44,2
98,12,1,6,19,4,1,101,1,7,1,43,7,1,1,11,1987,1,44,1
99,12,1,6,9,2,17,1701,2,99,1,24,3,1,14,99,2006,1,2,1
100,12,1,6,2,1,17,1701,2,99,1,34,5,1,4,99,9999,2,99,1
101,13,1,7,20,4,1,101,1,7,1,53,9,1,2,3,1999,1,13,2
102,13,1,7,15,3,1,108,1,4,1,48,8,1,1,5,9999,1,99,1
103,13,1,7,18,4,20,2001,2,99,9,999,12,9,3,99,9999,3,99,9
104,13,1,7,19,4,5,501,2,99,9,999,12,9,6,99,9999,1,22,9
105,13,1,7,15,3,6,613,2,99,1,53,9,1,1,11,9999,1,21,1
106,13,1,7,11,2,6,601,2,99,1,60,11,1,3,1,9999,2,99,1
107,13,1,7,19,4,10,1002,2,99,1,21,3,1,3,3,1984,1,44,2
108,13,1,7,3,1,10,1010,2,99,1,22,3,1,4,1,2009,2,2,1
109,13,1,7,4,1,12,1201,2,99,1,41,7,1,4,4,2012,2,32,2
110,13,1,7,21,4,2,201,2,99,1,40,7,1,6,1,1998,1,15,1
111,13,1,7,23,4,4,403,2,99,9,999,12,9,5,2,9999,1,22,9
112,14,1,1,20,4,22,2214,2,99,1,37,6,1,3,14,9999,1,44,1
113,14,1,1,6,2,5,508,2,99,1,27,4,1,11,2,9999,2,99,1
114,14,1,1,7,2,6,603,2,99,1,25,4,1,3,5,9999,3,99,9
115,14,1,1,19,4,13,1301,1,99,1,23,3,1,3,2,9999,2,11,2
116,14,1,1,12,3,16,1609,1,1,1,56,10,1,5,2,9999,1,19,1
117,14,1,1,0,1,4,416,2,99,1,32,5,1,1,3,9999,2,32,1
118,15,1,2,4,1,1,101,1,10,1,31,5,1,5,2,1988,1,33,1
119,15,1,2,2,1,1,116,2,99,1,29,4,1,1,99,9999,1,9,2
120,15,1,2,21,4,21,2101,1,6,1,27,4,1,4,1,2007,1,42,2
121,15,1,2,17,3,20,2001,2,99,1,23,3,1,1,1,1992,1,32,1
122,15,1,2,16,3,6,608,2,99,1,34,5,1,4,99,9999,3,99,1
123,15,1,2,19,4,8,801,2,99,1,25,4,1,3,4,9999,2,44,2
124,15,1,2,2,1,16,1601,1,7,1,19,2,1,1,10,1984,2,44,1
125,16,1,3,13,3,1,101,1,9,2,33,5,1,1,3,9999,1,13,1
126,16,1,3,16,3,1,101,1,9,2,29,4,1,2,3,9999,1,30,1
127,16,1,3,4,1,1,101,1,1,1,38,6,1,99,99,9999,2,99,9
128,16,1,3,1,1,1,101,1,10,2,22,3,1,1,4,2012,1,40,1
129,16,1,3,7,2,1,115,2,99,1,26,4,1,12,99,9999,1,13,1
130,16,1,3,20,4,5,501,2,99,9,999,12,9,1,3,9999,1,44,9
131,16,1,3,14,3,10,1018,2,99,1,33,5,1,3,1,9999,3,44,1
132,16,1,3,20,4,9,902,2,99,1,28,4,1,4,3,9999,2,2,9
133,16,1,3,19,4,16,1601,2,99,1,29,4,1,1,4,9999,1,37,9
134,16,1,3,11,2,2,203,2,99,1,39,6,1,3,5,9999,1,44,9
135,16,1,3,19,4,7,713,2,99,1,32,5,1,9,1,9999,1,44,1
136,16,1,3,7,2,4,406,1,99,1,50,9,1,3,1,9999,1,44,1
137,17,1,4,0,1,1,108,1,4,1,29,4,1,1,1,2012,1,32,1
138,17,1,4,15,3,1,102,1,99,1,29,4,1,4,1,2012,1,40,1
139,17,1,4,16,3,1,101,1,12,1,39,6,1,6,99,9999,1,99,1
140,17,1,4,13,3,5,502,1,99,1,25,4,1,1,5,2007,1,44,1
141,17,1,4,16,3,6,601,1,99,1,29,4,1,7,7,9999,1,22,1
142,17,1,4,17,3,12,1218,1,99,1,29,4,1,2,6,1995,2,44,2
143,17,1,4,10,2,2,201,2,99,1,23,3,1,3,4,1995,2,37,1
144,17,1,4,16,3,3,304,2,99,1,22,3,1,5,1,1986,1,33,1
145,17,1,4,20,4,1,101,2,12,1,50,9,1,1,10,2000,1,32,1
146,17,1,4,19,4,5,501,2,99,1,54,9,1,3,11,9999,3,44,1
147,17,1,4,22,4,9,922,2,99,1,52,9,1,4,99,9999,1,99,1
148,17,1,4,8,2,16,1612,2,99,9,999,12,9,14,99,9999,2,99,1
149,18,1,5,18,4,1,101,1,7,1,61,11,1,1,2,2004,1,44,1
150,18,1,5,22,4,6,614,2,99,1,18,2,1,1,4,9999,2,32,9
151,18,1,5,2,1,9,901,1,3,1,19,2,1,9,2,2007,2,99,2
152,18,1,5,14,3,9,901,1,1,1,17,2,2,4,3,9999,1,42,1
153,18,1,5,21,4,8,802,2,99,1,29,4,1,5,2,9999,1,23,1
154,18,1,5,12,3,14,1401,1,1,1,23,3,1,14,1,2010,1,2,1
155,19,1,6,23,4,1,101,1,6,1,23,3,1,4,99,9999,2,99,1
156,19,1,6,1,1,1,115,1,3,1,31,5,1,3,2,9999,2,23,1
157,19,1,6,3,1,1,101,1,19,9,999,12,9,1,5,9999,1,99,9
158,19,1,6,13,3,5,502,2,99,2,32,5,1,1,4,9999,1,37,1
159,19,1,6,21,4,6,602,2,99,1,18,2,1,3,4,9999,2,32,1
160,19,1,6,11,2,2,201,2,99,1,55,10,1,5,2,9999,1,19,1
161,19,1,6,20,4,2,208,2,99,1,43,7,1,3,99,1989,1,99,1
162,19,1,6,22,4,7,706,2,99,1,38,6,1,3,5,9999,2,44,2
163,20,1,7,23,4,1,101,1,1,1,33,5,1,1,1,2007,1,34,2
164,20,1,7,0,1,1,101,1,6,1,22,3,1,4,1,9999,2,2,2
165,20,1,7,2,1,1,101,1,15,1,24,3,1,4,99,9999,3,99,2
166,20,1,7,2,1,1,101,1,12,1,26,4,1,1,1,1995,1,46,2
167,20,1,7,2,1,1,101,1,7,1,21,3,1,1,99,2000,2,32,1
168,20,1,7,2,1,1,115,2,99,1,40,7,1,2,99,9999,1,99,1
169,20,1,7,3,1,1,116,2,99,2,32,5,1,1,2,9999,1,44,1
170,20,1,7,6,2,22,2217,2,99,1,19,2,1,14,1,2005,3,99,1
171,20,1,7,16,3,22,2212,2,99,1,23,3,1,3,5,1989,3,44,2
172,20,1,7,11,2,20,2007,2,99,1,36,6,1,1,4,2005,1,32,1
173,20,1,7,2,1,5,511,2,99,1,36,6,1,1,8,1989,1,99,1
174,20,1,7,7,2,5,509,2,99,1,21,3,1,4,99,9999,2,99,1
175,20,1,7,0,1,9,904,1,1,1,26,4,1,3,1,9999,1,44,1
176,20,1,7,14,3,4,416,2,99,1,18,2,1,3,4,9999,1,44,1
177,21,1,1,0,1,1,101,1,5,1,999,12,1,1,1,9999,2,34,2
178,21,1,1,16,3,1,101,1,25,1,18,2,1,4,5,9999,2,42,9
179,21,1,1,12,3,11,1103,2,99,1,45,8,1,3,5,1989,1,44,1
180,21,1,1,16,3,12,1201,2,99,1,45,8,1,3,3,1994,2,44,2
181,21,1,1,19,4,8,805,2,99,1,32,5,1,6,2,9999,1,15,1
182,21,1,1,12,3,3,301,2,99,1,999,12,1,3,5,9999,3,44,9
183,22,1,2,16,3,22,2214,2,99,2,45,8,1,1,5,2001,1,46,1
184,22,1,2,10,2,10,1014,2,99,1,34,5,1,5,1,1996,1,15,9
185,22,1,2,17,3,4,406,2,99,1,27,4,1,3,1,1988,1,44,1
186,23,1,3,12,3,1,101,1,5,1,35,6,1,99,2,2002,2,30,1
187,23,1,3,17,3,1,101,1,7,1,32,5,1,5,2,1999,1,22,1
188,23,1,3,21,4,1,101,1,1,1,34,5,1,1,4,1995,1,37,2
189,23,1,3,16,3,1,108,2,5,1,999,12,1,4,1,9999,1,21,1
190,23,1,3,18,4,12,1209,2,99,9,999,12,1,3,99,9999,3,99,9
191,23,1,3,18,4,13,1301,1,4,1,61,11,1,1,9,1992,1,44,9
192,23,1,3,0,1,13,1301,1,8,2,23,3,1,1,99,9999,1,99,9
193,23,1,3,20,4,15,1501,2,99,1,31,5,1,5,2,1995,1,23,1
194,23,1,3,20,4,17,1709,2,99,1,33,5,1,3,4,9999,1,32,1
195,23,1,3,14,3,4,407,2,99,1,54,9,1,9,6,2001,1,44,1
196,23,1,3,14,3,3,312,2,99,1,39,6,1,6,6,9999,1,15,1
197,24,1,4,8,2,1,101,1,9,1,35,6,1,4,2,2011,1,21,1
198,24,1,4,17,3,1,101,1,12,1,25,4,1,1,2,1970,1,9,1
199,24,1,4,16,3,1,101,1,11,1,28,4,1,4,5,2009,1,99,1
200,24,1,4,21,4,1,108,1,4,1,60,11,1,1,2,2013,1,42,2
201,24,1,4,12,3,22,2212,2,99,1,26,4,1,2,11,1984,1,26,1
202,24,1,4,22,4,21,2101,2,99,1,22,3,1,3,99,9999,3,44,1
203,24,1,4,0,1,19,1901,2,99,1,20,3,1,4,99,9999,3,99,1
204,24,1,4,5,1,6,613,2,99,1,999,12,1,6,2,9999,3,22,1
205,24,1,4,15,3,13,1306,2,99,1,54,9,1,2,6,1985,1,44,2
206,24,1,4,1,1,16,1606,1,3,1,25,4,1,1,16,1995,1,32,2
207,24,1,4,15,3,2,207,2,99,1,49,8,1,3,2,2008,1,44,1
208,24,1,4,0,1,17,1712,2,99,1,30,5,1,4,4,9999,3,42,1
209,24,1,4,19,4,14,1419,2,99,1,30,5,1,5,2,9999,3,23,1
210,25,1,5,0,1,1,101,1,7,1,33,5,1,4,5,9999,3,21,1
211,25,1,5,8,2,1,117,1,99,1,37,6,1,4,9,2007,1,99,1
212,25,1,5,19,4,20,2001,2,99,1,17,2,2,4,99,9999,1,42,1
213,25,1,5,19,4,19,1905,2,99,1,27,4,1,4,99,9999,3,99,1
214,25,1,5,6,2,5,511,2,99,1,25,4,1,2,4,2002,2,13,1
215,25,1,5,23,4,11,1102,2,99,1,28,4,1,4,5,2004,2,21,1
216,25,1,5,20,4,9,920,2,99,1,22,3,1,4,2,2013,1,14,1
217,25,1,5,23,4,9,901,1,1,1,20,3,1,1,4,2012,1,44,2
218,25,1,5,12,3,9,921,2,99,1,42,7,1,14,1,9999,1,2,2
219,25,1,5,14,3,9,901,1,1,1,44,7,1,1,2,2005,2,20,1
220,25,1,5,18,4,8,801,2,99,9,999,12,9,12,1,1992,3,22,9
221,26,1,6,22,4,1,101,1,9,1,35,6,1,1,99,9999,1,44,2
222,26,1,6,0,1,1,101,1,6,1,22,3,1,4,1,9999,2,21,2
223,26,1,6,4,1,1,101,1,12,1,28,4,1,1,1,1998,2,4,2
224,26,1,6,17,3,6,609,2,99,1,49,8,1,3,2,1986,1,44,1
225,26,1,6,22,4,10,1014,2,99,1,34,5,1,3,8,1988,1,44,2
226,26,1,6,0,1,11,1105,2,99,1,37,6,1,1,6,1994,1,17,2
227,26,1,6,11,2,13,1301,1,2,9,999,12,9,5,2,9999,1,99,9
228,27,1,7,4,1,1,101,1,7,1,29,4,1,1,5,9999,2,46,2
229,27,1,7,20,4,1,101,1,11,1,28,4,1,1,9,1996,1,37,2
230,27,1,7,15,3,1,115,2,99,1,40,7,1,3,1,1990,2,23,1
231,27,1,7,0,1,1,116,2,99,1,17,2,2,4,5,9999,1,40,1
232,27,1,7,17,3,1,101,1,1,1,22,3,1,5,2,9999,1,34,2
233,27,1,7,15,3,21,2107,1,1,1,23,3,1,5,2,1996,1,23,2
234,27,1,7,3,1,20,2008,2,99,1,25,4,1,1,3,2007,1,32,1
235,27,1,7,21,4,19,1901,2,99,1,18,2,1,4,3,2007,1,40,1
236,27,1,7,1,1,5,509,2,99,1,23,3,1,1,5,1990,2,38,2
237,27,1,7,17,3,6,614,2,99,9,999,12,9,4,99,9999,1,99,9
238,27,1,7,17,3,9,901,1,6,1,32,5,1,9,2,2005,1,30,2
239,27,1,7,16,3,15,1501,2,99,1,55,10,1,9,11,2008,1,34,1
240,27,1,7,16,3,15,1501,2,99,1,19,2,1,4,5,9999,1,2,1
241,27,1,7,22,4,2,207,2,99,1,25,4,1,1,2,1995,1,99,1
242,28,1,1,23,4,1,101,1,18,1,40,7,1,1,9,9999,1,44,1
243,28,1,1,20,4,1,105,2,99,1,999,12,1,6,7,9999,3,15,9
244,28,1,1,18,4,1,101,1,12,9,999,12,9,3,99,9999,1,99,9
245,28,1,1,0,1,21,2103,2,99,1,18,2,1,3,4,9999,4,44,2
246,28,1,1,17,3,6,603,2,99,1,21,3,1,14,1,2006,1,2,2
247,28,1,1,17,3,17,1703,2,99,1,56,10,1,4,99,9999,2,42,1
248,28,1,1,16,3,17,1708,2,99,1,42,7,1,1,11,1998,1,44,1
249,29,1,2,10,2,1,101,1,18,9,999,12,9,5,99,9999,1,99,9
250,29,1,2,8,2,19,1904,2,99,1,44,7,1,6,1,1998,1,15,1
251,29,1,2,22,4,11,1101,2,99,1,41,7,1,4,1,9999,3,24,1
252,29,1,2,15,3,16,1613,2,99,1,24,3,1,4,5,9999,1,42,1
253,29,1,2,18,4,18,1801,2,99,1,39,6,1,4,14,2005,2,40,9
254,29,1,2,16,3,17,1701,2,99,2,20,3,1,4,99,9999,1,99,1
255,29,1,2,18,4,17,1701,2,99,1,50,9,1,4,5,9999,1,2,1
256,30,1,3,22,4,20,2001,2,99,1,59,10,1,3,2,9999,1,44,1
257,30,1,3,17,3,10,1010,2,99,1,36,6,1,2,6,9999,1,26,1
258,30,1,3,15,3,11,1101,2,99,1,39,6,1,2,5,9999,1,44,1
259,30,1,3,16,3,4,403,2,99,1,26,4,1,1,5,9999,2,44,2
260,31,1,4,20,4,1,108,1,5,2,26,4,1,1,4,9999,1,33,1
261,31,1,4,19,4,20,2001,2,99,1,38,6,1,1,5,9999,2,21,2
262,31,1,4,6,2,19,1904,2,99,1,31,5,1,1,4,2005,2,21,1
263,31,1,4,23,4,10,1001,1,1,1,26,4,1,1,5,1996,2,21,2
264,31,1,4,14,3,18,1804,2,99,1,20,3,1,3,1,9999,3,99,1
265,31,1,4,14,3,17,1708,2,99,9,999,12,9,4,99,9999,1,99,9
266,31,1,4,11,2,4,412,2,99,1,999,12,1,1,99,9999,4,99,1
267,31,1,4,20,4,4,409,2,99,1,29,4,1,5,2,2005,1,23,1
268,1,2,5,12,3,1,101,1,6,1,78,11,1,3,12,1996,1,99,2
269,1,2,5,9,2,1,101,1,18,1,22,3,1,1,2,9999,1,34,1
270,1,2,5,1,1,9,917,2,99,1,54,9,1,6,1,9999,2,15,1
271,2,2,6,6,2,1,101,1,1,1,29,4,1,1,2,1999,1,21,2
272,2,2,6,7,2,1,101,1,1,1,61,11,1,12,3,2010,1,33,1
273,2,2,6,8,2,1,101,1,1,1,18,2,1,4,5,9999,1,99,1
274,2,2,6,9,2,1,101,1,4,1,31,5,1,3,5,9999,1,44,1
275,2,2,6,23,4,1,101,1,3,1,22,3,1,4,5,9999,1,2,2
276,2,2,6,11,2,1,101,1,18,1,50,9,1,4,1,9999,1,21,1
277,2,2,6,8,2,1,113,2,99,1,22,3,1,2,2,2013,1,30,1
278,2,2,6,7,2,1,102,1,14,1,999,12,1,3,5,9999,1,44,1
279,2,2,6,22,4,1,101,1,12,1,999,12,1,1,2,9999,1,99,9
280,2,2,6,21,4,1,101,1,12,1,40,7,1,4,5,9999,3,99,9
281,2,2,6,0,1,1,101,1,12,1,22,3,1,4,5,9999,1,99,1
282,2,2,6,13,3,1,115,1,5,1,999,12,1,4,1,9999,1,21,1
283,2,2,6,13,3,5,502,2,99,1,20,3,1,1,2,9999,3,32,9
284,2,2,6,0,1,5,501,1,1,1,21,3,1,4,1,9999,1,40,2
285,2,2,6,21,4,5,501,1,1,1,25,4,1,4,1,2006,1,99,1
286,2,2,6,18,4,10,1010,1,1,1,25,4,1,3,2,9999,1,44,1
287,2,2,6,19,4,11,1101,2,99,1,50,9,1,3,9,1986,1,44,1
288,2,2,6,19,4,9,901,1,3,1,49,8,1,3,3,1996,1,44,1
289,2,2,6,16,3,9,920,2,99,1,42,7,1,4,3,2004,2,21,9
290,2,2,6,0,1,16,1601,1,4,1,33,5,1,1,5,1997,2,32,2
291,2,2,6,8,2,18,1805,2,99,1,63,11,1,6,3,1995,1,15,1
292,2,2,6,8,2,14,1408,2,99,1,29,4,1,3,11,1985,1,44,2
293,2,2,6,14,3,14,1412,2,99,1,30,5,1,3,5,1987,3,44,9
294,2,2,6,11,2,3,301,2,99,1,43,7,1,1,5,9999,1,34,1
295,2,2,6,11,2,3,301,2,99,2,999,12,1,4,3,9999,1,24,1
296,3,2,7,3,1,1,101,1,15,1,39,6,1,1,1,2005,2,12,1
297,3,2,7,0,1,1,101,1,12,1,33,5,1,1,4,2004,1,32,1
298,3,2,7,23,4,1,108,1,4,1,35,6,1,1,2,9999,1,99,1
299,3,2,7,14,3,1,110,2,99,1,52,9,1,4,3,2005,1,42,9
300,3,2,7,14,3,1,109,1,2,1,24,3,1,1,4,9999,1,44,1
301,3,2,7,16,3,1,108,1,3,1,999,12,1,12,1,9999,2,33,1
302,3,2,7,9,2,22,2211,2,99,1,23,3,1,3,5,1999,3,13,1
303,3,2,7,20,4,21,2101,2,99,1,51,9,1,6,2,1997,1,99,1
304,3,2,7,12,3,19,1902,2,99,1,18,2,1,4,5,9999,1,24,1
305,3,2,7,23,4,5,504,2,99,1,26,4,1,2,3,9999,1,23,1
306,3,2,7,15,3,5,501,2,99,1,999,12,1,1,6,1993,1,44,1
307,3,2,7,23,4,6,601,2,99,1,54,9,1,3,11,1984,1,34,2
308,3,2,7,22,4,9,920,2,99,1,31,5,1,3,11,1984,1,11,2
309,3,2,7,0,1,9,901,1,3,1,33,5,1,1,11,9999,1,30,2
310,3,2,7,21,4,12,1201,2,99,1,46,8,1,5,2,9999,1,18,1
311,3,2,7,20,4,16,1609,2,99,1,29,4,1,2,2,2004,4,34,1
312,3,2,7,11,2,16,1605,2,99,1,999,12,1,12,8,2000,4,30,1
313,3,2,7,21,4,18,1801,2,99,1,43,7,1,3,7,2006,1,23,1
314,3,2,7,4,1,18,1804,2,99,1,41,7,1,3,9,1992,1,44,2
315,3,2,7,5,1,3,312,2,99,1,28,4,1,4,4,9999,4,99,2
316,4,2,1,6,2,1,101,1,6,1,30,5,1,4,9,9999,1,99,1
317,4,2,1,23,4,1,116,1,6,1,24,3,1,4,1,9999,1,2,9
318,4,2,1,23,4,1,115,1,6,1,999,12,1,5,7,9999,1,99,9
319,4,2,1,0,1,1,111,2,99,1,56,10,1,3,1,1995,1,44,1
320,4,2,1,19,4,5,501,2,99,1,27,4,1,7,7,9999,1,13,1
321,4,2,1,15,3,13,1302,2,99,1,25,4,1,3,3,9999,2,44,2
322,4,2,1,20,4,13,1302,2,99,1,28,4,1,3,4,1985,1,44,2
323,4,2,1,0,1,16,1604,2,99,1,49,8,1,3,1,2001,1,23,2
324,4,2,1,21,4,3,302,2,99,1,41,7,1,2,99,9999,1,42,2
325,5,2,2,8,2,1,101,1,4,1,25,4,1,4,5,9999,1,21,1
326,5,2,2,9,2,1,108,1,8,2,999,12,1,1,3,9999,1,32,1
327,5,2,2,23,4,22,2205,2,99,1,23,3,1,6,1,9999,1,15,1
328,5,2,2,6,2,22,2202,2,99,1,24,3,1,3,4,1996,2,44,2
329,5,2,2,22,4,5,502,2,99,1,18,2,1,4,1,9999,1,24,1
330,5,2,2,22,4,9,914,2,99,1,37,6,1,3,1,9999,2,44,2
331,5,2,2,2,1,8,801,2,99,1,33,5,1,3,1,1990,1,44,2
332,5,2,2,23,4,16,1602,2,99,1,30,5,1,3,3,9999,1,34,2
333,5,2,2,18,4,17,1708,2,99,1,39,6,1,4,99,9999,1,99,1
334,5,2,2,8,2,4,401,1,1,1,28,4,1,4,1,2007,1,21,1
335,6,2,3,1,1,1,101,2,6,1,27,4,1,3,1,2001,1,37,2
